iter	Passed	Remaining
0	61	18450
1	63	9524
2	66	6552
3	68	5058
4	70	4158
5	72	3552
6	74	3120
7	76	2794
8	78	2538
9	80	2337
10	82	2169
11	84	2030
12	86	1911
13	88	1809
14	90	1719
15	92	1640
16	94	1574
17	96	1517
18	98	1461
19	100	1411
20	102	1365
21	104	1321
22	106	1282
23	108	1247
24	110	1214
25	112	1184
26	114	1155
27	116	1129
28	118	1104
29	120	1083
30	122	1061
31	124	1041
32	126	1022
33	128	1002
34	129	984
35	131	967
36	134	953
37	136	938
38	138	925
39	140	912
40	142	901
41	144	888
42	146	876
43	148	864
44	150	854
45	152	843
46	154	833
47	157	824
48	159	815
49	160	804
50	162	795
51	164	786
52	167	778
53	169	770
54	171	762
55	173	754
56	175	747
57	177	739
58	179	731
59	181	724
60	183	718
61	185	711
62	187	705
63	189	698
64	191	692
65	193	685
66	195	679
67	197	673
68	199	668
69	201	662
70	203	657
71	205	651
72	207	646
73	209	640
74	211	635
75	213	630
76	215	625
77	217	619
78	219	614
79	221	609
80	223	604
81	225	599
82	227	594
83	229	590
84	231	586
85	233	582
86	235	577
87	237	572
88	239	568
89	241	563
90	243	559
91	245	554
92	247	551
93	249	547
94	251	542
95	253	538
96	255	534
97	257	530
98	259	526
99	261	522
100	263	518
101	264	514
102	266	510
103	268	506
104	270	502
105	272	499
106	274	495
107	276	491
108	278	487
109	280	484
110	282	480
111	284	477
112	286	473
113	288	470
114	290	467
115	292	463
116	294	460
117	296	456
118	298	453
119	300	450
120	301	446
121	304	443
122	306	440
123	307	437
124	309	433
125	311	430
126	313	427
127	315	424
128	318	421
129	319	418
130	321	415
131	323	412
132	325	409
133	328	406
134	330	403
135	332	400
136	334	397
137	336	394
138	338	391
139	340	388
140	341	384
141	343	381
142	345	378
143	347	376
144	349	373
145	351	370
146	353	367
147	355	364
148	357	361
149	359	359
150	361	356
151	363	354
152	365	351
153	367	348
154	369	345
155	371	343
156	374	340
157	376	338
158	378	335
159	381	333
160	383	331
161	385	328
162	388	326
163	390	323
164	392	320
165	395	319
166	397	316
167	399	314
168	402	311
169	404	309
170	406	306
171	408	303
172	410	301
173	412	298
174	414	296
175	416	293
176	418	290
177	420	288
178	422	285
179	424	283
180	426	280
181	428	277
182	430	275
183	432	272
184	433	269
185	435	267
186	437	264
187	439	261
188	441	259
189	443	256
190	445	254
191	447	251
192	449	249
193	451	246
194	453	244
195	455	241
196	457	239
197	459	236
198	462	234
199	464	232
200	467	230
201	469	227
202	471	225
203	473	222
204	475	220
205	478	218
206	481	216
207	483	213
208	485	211
209	487	208
210	489	206
211	491	203
212	493	201
213	495	198
214	497	196
215	499	194
216	500	191
217	502	189
218	504	186
219	506	184
220	508	181
221	510	179
222	512	177
223	514	174
224	516	172
225	518	169
226	520	167
227	522	165
228	524	162
229	526	160
230	528	157
231	530	155
232	532	153
233	534	150
234	536	148
235	538	145
236	540	143
237	542	141
238	544	138
239	546	136
240	548	134
241	550	131
242	552	129
243	554	127
244	556	124
245	558	122
246	560	120
247	562	117
248	564	115
249	566	113
250	568	110
251	570	108
252	572	106
253	574	103
254	575	101
255	577	99
256	579	97
257	581	94
258	583	92
259	585	90
260	587	87
261	589	85
262	591	83
263	593	80
264	595	78
265	597	76
266	599	74
267	601	71
268	603	69
269	605	67
270	607	64
271	609	62
272	611	60
273	613	58
274	615	55
275	617	53
276	619	51
277	622	49
278	623	46
279	625	44
280	627	42
281	629	40
282	631	37
283	633	35
284	635	33
285	637	31
286	639	28
287	641	26
288	643	24
289	645	22
290	647	20
291	649	17
292	651	15
293	653	13
294	655	11
295	657	8
296	659	6
297	661	4
298	663	2
299	665	0
